nombre,frec,edad_media
SANDRA PATRICIA,160,37.09
CLEMENTINA,159,47.79
DOMITILA,159,46.03
EVA MARIA,159,35.65
FLORINDA,159,45.07
MARIA CONSUELO,158,45.21
MARIA IRMA,157,49.9
MARIA LORENA,157,41.87
MARIA ROSA,157,45.89
REYNALDA,157,46.66
CARLOTA,156,47.13
ISAURA,156,41.84
ISIDRA,156,45.72
MARIA ENRIQUETA,156,49.14
MARTHA ELVA,156,47.71
MARTHA EUGENIA,156,46.58
MA DEL ROCIO,155,44.14
MARIA LUCIA,155,45.46
NORMA EDITH,155,38.53
ROSELIA,155,40.81
GUADALUPE DEL CARMEN,154,40.67
MAGNOLIA,154,39.61
DIANA ELIZABETH,153,32.62
HILARIA,152,45.41
OTILIA,152,46.92
ALMA GUADALUPE,151,38.74
CARMINA,151,40.39
MA LOURDES,151,48.72
MARIA DE LA CRUZ,151,45.62
MA. EUGENIA,150,47.5
DORA ELIA,149,45.26
MARIA BEATRIZ,149,45.81
MARIA IRENE,149,46.48
NEREIDA,149,37.86
YANETH,149,32.5
ARMINDA,148,45.3
MARIA GUADALU,148,46.87
BLANCA LILIA,147,44.15
IRASEMA,147,38.31
EDELMIRA,146,44.82
LUDIVINA,146,43.92
ROSA GUADALUPE,146,42.36
SILVIA PATRICIA,146,43.65
BERTA,145,48.1
MARIA REYNA,145,44.2
ODILIA,145,43.37
ROCIO GUADALUPE,145,34.6
EMELIA,144,44.86
EPIFANIA,143,45.66
MARIA EDITH,143,43.57
RICARDA,143,45.83
BIBIANA,142,35.78
FLORINA,142,45.2
MACRINA,142,45.54
NORMA GUADALUPE,142,40.38
ROBERTA,142,43.69
GEMA,141,40.91
LAURA GUADALUPE,141,37.2
MARIA DEL CARM,141,45.74
MARTHA MARIA,141,34.44
MYRNA,141,40.94
ROSA DEL CARMEN,141,42.28
CRUZ,140,46.68
YULIANA,140,28.11
CITLALLI,138,30.55
JENNY,138,32.1
MA. ESTHER,138,47.14
GLORIA MARIA,137,43.31
MA. CARMEN,137,49.84
BELEM,136,39.19
MARIA AZUCENA,136,37.87
MARIA DEL CA,136,46.33
YESSICA,136,28.78
LUCIA GUADALUPE,135,38.12
COLUMBA,134,46.52
HERMILA,134,48.09
ANA LUCIA,133,36.75
BRIGIDA,133,43.76
MARIA GUADALUP,133,47.65
PILAR,133,42.27
FLOR MARIA,132,39.54
JULISSA,132,35.57
MARIA ELISA,132,43.68
MAYRA ALEJANDRA,132,27.07
MAYRA GUADALUPE,132,30.95
MARIA DE LOS,131,47.05
MARIA DEL CAR,131,47.58
MARIA NATIVIDAD,131,42.74
ROSA MARTHA,131,45.21
REMEDIOS,130,45.22
AIDEE,129,36
BLANCA ALICIA,129,44.12
KARLA MARIA,129,28.88
MARIA CATALINA,129,45.96
ROSA ANGELICA,128,38.78
SANDRA ELIZABETH,128,35.2
ANA KARINA,127,31.44
ANA SILVIA,127,39.62
MA. DEL ROCIO,127,43.55
BERNARDA,126,46.92
FAVIOLA,126,36.79
LAURA OLIVIA,126,43.06
